scales,wavedate,variable,mean_measurement,mean_measurement_se,ymax,ymin,groupby,subgroup,N_total
1,2020-03-28,lebensz,6.45,0.07,6.6,6.31,all,none,1528
1,2020-04-04,lebensz,6.46,0.07,6.6,6.32,all,none,1534
1,2020-04-11,lebensz,6.59,0.07,6.74,6.45,all,none,1487
1,2020-04-17,lebensz,6.47,0.07,6.62,6.33,all,none,1510
1,2020-04-25,lebensz,6.71,0.07,6.84,6.57,all,none,1495
1,2020-05-03,lebensz,6.64,0.07,6.78,6.49,all,none,1536
1,2020-05-09,lebensz,6.81,0.07,6.96,6.67,all,none,1493
1,2020-05-16,lebensz,6.57,0.07,6.71,6.43,all,none,1479
1,2020-05-24,lebensz,6.66,0.08,6.81,6.51,all,none,1474
1,2020-05-29,lebensz,6.67,0.07,6.82,6.53,all,none,1483
1,2020-06-13,lebensz,6.74,0.07,6.89,6.6,all,none,1479
1,2020-06-27,lebensz,6.83,0.07,6.97,6.68,all,none,1490
1,2020-07-11,lebensz,6.86,0.07,7,6.73,all,none,1499
1,2020-08-15,lebensz,6.65,0.07,6.79,6.51,all,none,1511
1,2020-09-12,lebensz,6.7,0.07,6.83,6.56,all,none,1554
1,2020-10-17,lebensz,6.74,0.07,6.87,6.6,all,none,1634
1,2020-11-14,lebensz,6.6,0.07,6.73,6.47,all,none,1568
1,2020-12-13,lebensz,6.46,0.07,6.6,6.33,all,none,1546
1,2021-01-16,lebensz,6.48,0.07,6.62,6.34,all,none,1581
1,2021-02-13,lebensz,6.63,0.07,6.76,6.5,all,none,1544
1,2021-03-13,lebensz,6.77,0.07,6.91,6.64,all,none,1542
1,2021-04-16,lebensz,6.61,0.07,6.74,6.47,all,none,1501
1,2021-05-22,lebensz,6.7,0.07,6.84,6.57,all,none,1468
1,2021-06-26,lebensz,6.68,0.07,6.82,6.54,all,none,1479
1,2021-09-25,lebensz,6.62,0.07,6.77,6.48,all,none,1480
1,2021-10-23,lebensz,6.68,0.07,6.82,6.55,all,none,1487
2,2020-03-28,ver_gov,7.11,0.08,7.27,6.96,all,none,1513
2,2020-03-28,ver_ges,7.45,0.07,7.59,7.31,all,none,1514
2,2020-03-28,ver_par,6.47,0.08,6.62,6.31,all,none,1484
2,2020-03-28,ver_pol,7.45,0.07,7.59,7.3,all,none,1510
2,2020-03-28,ver_orf,6.51,0.09,6.68,6.35,all,none,1502
2,2020-04-04,ver_gov,6.86,0.08,7.03,6.7,all,none,1524
2,2020-04-04,ver_ges,7.4,0.07,7.54,7.26,all,none,1527
2,2020-04-04,ver_par,6.21,0.08,6.36,6.06,all,none,1499
2,2020-04-04,ver_pol,7.18,0.08,7.33,7.03,all,none,1531
2,2020-04-04,ver_orf,6.24,0.09,6.41,6.07,all,none,1515
2,2020-04-17,ver_gov,6.42,0.08,6.58,6.26,all,none,1489
2,2020-04-17,ver_ges,7.14,0.07,7.28,7,all,none,1490
2,2020-04-17,ver_par,5.83,0.08,5.98,5.68,all,none,1476
2,2020-04-17,ver_pol,6.76,0.08,6.91,6.6,all,none,1488
2,2020-04-17,ver_orf,5.74,0.08,5.91,5.58,all,none,1489
2,2020-04-25,ver_gov,6.09,0.09,6.27,5.91,all,none,1469
2,2020-04-25,ver_ges,7.05,0.07,7.19,6.91,all,none,1470
2,2020-04-25,ver_par,5.61,0.08,5.77,5.45,all,none,1441
2,2020-04-25,ver_pol,6.57,0.08,6.73,6.41,all,none,1472
2,2020-04-25,ver_orf,5.57,0.09,5.75,5.4,all,none,1466
2,2020-05-03,ver_gov,6.07,0.09,6.24,5.9,all,none,1496
2,2020-05-03,ver_ges,7.03,0.07,7.17,6.89,all,none,1505
